Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19BT2,434428.729,6478741.211,1356.43,10152.0,2328.0
15-9_19BT2,434420.834,6478744.955,1361.35,10152.0,2329.0
15-9_19BT2,434412.959,6478748.509,1366.36,10153.0,2329.0
15-9_19BT2,434405.094,6478751.932,1371.42,10153.0,2330.0
15-9_19BT2,434397.209,6478755.206,1376.52,10153.0,2331.0
15-9_19BT2,434389.263,6478758.48,1381.62,10153.0,2331.0
15-9_19BT2,434381.278,6478761.634,1386.64,10153.0,2332.0
15-9_19BT2,434373.283,6478764.698,1391.68,10153.0,2333.0
15-9_19BT2,434365.028,6478767.742,1396.71,10153.0,2334.0
15-9_19BT2,434356.952,6478770.656,1401.77,10153.0,2334.0
15-9_19BT2,434348.777,6478773.51,1406.84,10153.0,2335.0
15-9_19BT2,434340.482,6478776.135,1411.94,10153.0,2336.0
15-9_19BT2,434332.216,6478778.559,1417.08,10153.0,2336.0
15-9_19BT2,434324.01,6478780.973,1422.22,10153.0,2337.0
15-9_19BT2,434315.705,6478783.308,1427.35,10153.0,2338.0
15-9_19BT2,434307.369,6478785.572,1432.5,10153.0,2338.0
15-9_19BT2,434299.023,6478787.677,1437.66,10153.0,2339.0
15-9_19BT2,434290.587,6478789.491,1442.81,10153.0,2340.0
15-9_19BT2,434282.521,6478791.326,1447.98,10153.0,2340.0
15-9_19BT2,434273.855,6478793.211,1453.2,10153.0,2341.0
15-9_19BT2,434265.5,6478795.045,1458.37,10153.0,2342.0
15-9_19BT2,434257.213,6478796.79,1463.57,10153.0,2342.0
15-9_19BT2,434248.788,6478798.514,1468.75,10153.0,2343.0
15-9_19BT2,434240.492,6478800.319,1473.97,10153.0,2344.0
15-9_19BT2,434232.086,6478802.104,1479.17,10153.0,2345.0
15-9_19BT2,434223.66,6478803.808,1484.35,10153.0,2345.0
15-9_19BT2,434215.354,6478805.583,1489.59,10153.0,2346.0
15-9_19BT2,434206.908,6478807.318,1494.73,10153.0,2347.0
15-9_19BT2,434198.592,6478809.032,1499.92,10153.0,2347.0
15-9_19BT2,434190.096,6478810.727,1505.12,10153.0,2348.0
15-9_19BT2,434181.75,6478812.392,1510.32,10153.0,2349.0
15-9_19BT2,434173.514,6478814.136,1515.52,10153.0,2349.0
15-9_19BT2,434165.037,6478815.731,1520.73,10153.0,2350.0
15-9_19BT2,434156.681,6478817.376,1525.93,10153.0,2351.0
15-9_19BT2,434148.236,6478819.17,1531.13,10153.0,2351.0
15-9_19BT2,434139.969,6478820.875,1536.32,10153.0,2352.0
15-9_19BT2,434131.484,6478822.67,1541.5,10153.0,2353.0
15-9_19BT2,434123.627,6478824.414,1546.69,10153.0,2353.0
15-9_19BT2,434115.151,6478826.229,1551.88,10153.0,2354.0
15-9_19BT2,434106.586,6478828.003,1557.06,10153.0,2355.0
15-9_19BT2,434098.25,6478829.978,1562.24,10153.0,2355.0
15-9_19BT2,434089.914,6478831.763,1567.42,10153.0,2356.0
15-9_19BT2,434081.668,6478833.577,1572.6,10153.0,2357.0
15-9_19BT2,434073.312,6478835.452,1577.78,10153.0,2358.0
15-9_19BT2,434064.976,6478837.296,1582.98,10153.0,2358.0
15-9_19BT2,434056.65,6478839.041,1588.16,10153.0,2359.0
15-9_19BT2,434048.354,6478840.876,1593.33,10153.0,2360.0
15-9_19BT2,434039.908,6478842.68,1598.5,10153.0,2360.0
15-9_19BT2,434031.622,6478844.575,1603.67,10153.0,2361.0
15-9_19BT2,434023.376,6478846.319,1608.85,10153.0,2362.0
15-9_19BT2,434014.86,6478848.134,1614.02,10153.0,2362.0
15-9_19BT2,434006.614,6478849.899,1619.17,10153.0,2363.0
15-9_19BT2,433998.288,6478851.673,1624.33,10153.0,2364.0
15-9_19BT2,433989.912,6478853.498,1629.49,10153.0,2364.0
15-9_19BT2,433982.393,6478855.224,1634.22,10152.0,2365.0
15-9_19BT2,433974.194,6478857.256,1639.56,10152.0,2366.0
15-9_19BT2,433966.069,6478859.283,1645.02,10152.0,2366.0
15-9_19BT2,433958.026,6478861.317,1650.6,10152.0,2367.0
15-9_19BT2,433950.076,6478863.33,1656.32,10152.0,2368.0
15-9_19BT2,433889.771,6478878.153,1701.81,10152.0,2373.0
15-9_19BT2,433881.264,6478880.085,1708.51,10152.0,2373.0
15-9_19BT2,433859.949,6478884.248,1726.17,10152.0,2375.0
15-9_19BT2,433838.029,6478886.939,1746.44,10152.0,2377.0
15-9_19BT2,433818.952,6478887.882,1766.9,10152.0,2378.0
15-9_19BT2,433800.444,6478887.781,1789.21,10152.0,2380.0
15-9_19BT2,433783.013,6478886.499,1812.34,10151.0,2381.0
15-9_19BT2,433766.943,6478884.039,1836.35,10151.0,2382.0
15-9_19BT2,433752.81,6478880.354,1860.23,10150.0,2383.0
15-9_19BT2,433739.118,6478874.848,1886.33,10149.0,2384.0
15-9_19BT2,433727.938,6478868.457,1911.19,10149.0,2385.0
15-9_19BT2,433718.177,6478861.232,1937.51,10148.0,2386.0
15-9_19BT2,433710.086,6478853.542,1964.27,10147.0,2386.0
