Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F11B,434744.464,6478570.084,1577.47,10145.0,2300.0
15-9_F11B,434738.935,6478568.911,1585.72,10145.0,2301.0
15-9_F11B,434733.417,6478567.721,1593.97,10145.0,2301.0
15-9_F11B,434727.908,6478566.522,1602.23,10145.0,2301.0
15-9_F11B,434722.409,6478565.321,1610.49,10144.0,2302.0
15-9_F11B,434716.915,6478564.121,1618.76,10144.0,2302.0
15-9_F11B,434711.416,6478562.919,1627.03,10144.0,2303.0
15-9_F11B,434705.906,6478561.711,1635.28,10144.0,2303.0
15-9_F11B,434700.416,6478560.499,1643.55,10144.0,2304.0
15-9_F11B,434695.018,6478559.314,1651.88,10143.0,2304.0
15-9_F11B,434689.732,6478558.191,1660.3,10143.0,2304.0
15-9_F11B,434684.542,6478557.134,1668.78,10143.0,2305.0
15-9_F11B,434679.471,6478556.149,1677.34,10143.0,2305.0
15-9_F11B,434674.536,6478555.238,1685.99,10143.0,2305.0
15-9_F11B,434669.708,6478554.379,1694.7,10142.0,2306.0
15-9_F11B,434664.965,6478553.549,1703.46,10142.0,2306.0
15-9_F11B,434660.336,6478552.749,1712.29,10142.0,2306.0
15-9_F11B,434655.868,6478551.997,1721.21,10142.0,2307.0
15-9_F11B,434651.539,6478551.29,1730.19,10142.0,2307.0
15-9_F11B,434647.305,6478550.617,1739.22,10142.0,2307.0
15-9_F11B,434643.176,6478549.98,1748.31,10142.0,2308.0
15-9_F11B,434639.18,6478549.367,1757.45,10141.0,2308.0
15-9_F11B,434635.307,6478548.753,1766.65,10141.0,2308.0
15-9_F11B,434631.556,6478548.133,1775.9,10141.0,2309.0
15-9_F11B,434627.95,6478547.532,1785.21,10141.0,2309.0
15-9_F11B,434624.477,6478546.969,1794.57,10141.0,2309.0
15-9_F11B,434621.108,6478546.447,1803.97,10141.0,2309.0
15-9_F11B,434617.834,6478545.963,1813.41,10141.0,2310.0
15-9_F11B,434614.679,6478545.517,1822.88,10141.0,2310.0
15-9_F11B,434611.66,6478545.107,1832.41,10141.0,2310.0
15-9_F11B,434608.772,6478544.734,1841.97,10141.0,2310.0
15-9_F11B,434606.021,6478544.404,1851.58,10140.0,2311.0
15-9_F11B,434603.431,6478544.138,1861.24,10140.0,2311.0
15-9_F11B,434600.993,6478543.93,1870.93,10140.0,2311.0
15-9_F11B,434598.678,6478543.752,1880.66,10140.0,2311.0
15-9_F11B,434596.5,6478543.595,1890.42,10140.0,2311.0
15-9_F11B,434594.511,6478543.463,1900.22,10140.0,2311.0
15-9_F11B,434592.697,6478543.366,1910.05,10140.0,2312.0
15-9_F11B,434591.02,6478543.314,1919.91,10140.0,2312.0
15-9_F11B,434589.477,6478543.313,1929.79,10140.0,2312.0
15-9_F11B,434588.088,6478543.366,1939.69,10140.0,2312.0
15-9_F11B,434586.839,6478543.459,1949.61,10140.0,2312.0
15-9_F11B,434585.701,6478543.584,1959.55,10140.0,2312.0
15-9_F11B,434584.678,6478543.762,1969.49,10140.0,2312.0
15-9_F11B,434583.762,6478544.008,1979.45,10140.0,2312.0
15-9_F11B,434582.945,6478544.311,1989.41,10140.0,2312.0
15-9_F11B,434582.24,6478544.644,1999.38,10140.0,2312.0
15-9_F11B,434581.681,6478544.99,2009.36,10140.0,2312.0
15-9_F11B,434581.275,6478545.351,2019.34,10140.0,2312.0
15-9_F11B,434580.98,6478545.746,2029.33,10140.0,2312.0
15-9_F11B,434580.772,6478546.196,2039.32,10140.0,2313.0
15-9_F11B,434580.668,6478546.733,2049.3,10140.0,2313.0
15-9_F11B,434580.691,6478547.368,2059.28,10140.0,2313.0
15-9_F11B,434580.842,6478548.072,2069.26,10140.0,2313.0
15-9_F11B,434581.128,6478548.819,2079.22,10140.0,2313.0
15-9_F11B,434581.565,6478549.596,2089.18,10140.0,2313.0
15-9_F11B,434582.148,6478550.399,2099.13,10140.0,2312.0
15-9_F11B,434582.858,6478551.23,2109.07,10141.0,2312.0
15-9_F11B,434583.703,6478552.09,2119.0,10141.0,2312.0
15-9_F11B,434584.724,6478552.974,2128.91,10141.0,2312.0
15-9_F11B,434585.945,6478553.878,2138.79,10141.0,2312.0
15-9_F11B,434587.346,6478554.81,2148.65,10141.0,2312.0
15-9_F11B,434588.92,6478555.767,2158.48,10141.0,2312.0
15-9_F11B,434590.672,6478556.744,2168.27,10141.0,2312.0
15-9_F11B,434592.577,6478557.734,2178.04,10141.0,2312.0
15-9_F11B,434594.6,6478558.727,2187.78,10141.0,2312.0
15-9_F11B,434596.731,6478559.723,2197.5,10141.0,2312.0
15-9_F11B,434598.982,6478560.738,2207.19,10142.0,2311.0
15-9_F11B,434601.359,6478561.793,2216.85,10142.0,2311.0
15-9_F11B,434603.854,6478562.892,2226.47,10142.0,2311.0
15-9_F11B,434606.464,6478564.032,2236.06,10142.0,2311.0
15-9_F11B,434609.199,6478565.208,2245.6,10142.0,2311.0
15-9_F11B,434612.071,6478566.417,2255.1,10142.0,2310.0
15-9_F11B,434615.089,6478567.664,2264.55,10142.0,2310.0
15-9_F11B,434618.253,6478568.948,2273.95,10143.0,2310.0
15-9_F11B,434621.556,6478570.267,2283.3,10143.0,2310.0
15-9_F11B,434624.974,6478571.625,2292.6,10143.0,2310.0
15-9_F11B,434628.496,6478573.016,2301.85,10143.0,2309.0
15-9_F11B,434632.136,6478574.442,2311.05,10143.0,2309.0
15-9_F11B,434635.908,6478575.913,2320.2,10143.0,2309.0
15-9_F11B,434639.818,6478577.443,2329.27,10144.0,2309.0
15-9_F11B,434643.862,6478579.049,2338.28,10144.0,2308.0
15-9_F11B,434648.034,6478580.738,2347.2,10144.0,2308.0
15-9_F11B,434652.333,6478582.514,2356.06,10144.0,2308.0
15-9_F11B,434656.754,6478584.367,2364.83,10145.0,2307.0
15-9_F11B,434661.303,6478586.278,2373.53,10145.0,2307.0
15-9_F11B,434665.988,6478588.246,2382.14,10145.0,2307.0
15-9_F11B,434670.782,6478590.254,2390.68,10145.0,2306.0
15-9_F11B,434675.658,6478592.284,2399.17,10145.0,2306.0
15-9_F11B,434680.62,6478594.344,2407.6,10146.0,2306.0
15-9_F11B,434685.72,6478596.435,2415.95,10146.0,2305.0
15-9_F11B,434691.004,6478598.553,2424.17,10146.0,2305.0
15-9_F11B,434696.443,6478600.7,2432.28,10147.0,2305.0
15-9_F11B,434701.993,6478602.866,2440.31,10147.0,2304.0
15-9_F11B,434721.242,6478609.616,2466.62,10148.0,2303.0
15-9_F11B,434746.065,6478616.732,2497.28,10149.0,2301.0
15-9_F11B,434773.294,6478623.266,2526.52,10150.0,2299.0
15-9_F11B,434802.889,6478629.645,2553.39,10151.0,2297.0
15-9_F11B,434834.279,6478636.475,2577.69,10152.0,2295.0
15-9_F11B,434867.426,6478644.399,2599.53,10153.0,2292.0
15-9_F11B,434900.883,6478653.455,2618.44,10155.0,2290.0
15-9_F11B,434935.885,6478663.548,2637.01,10156.0,2287.0
15-9_F11B,434970.506,6478671.88,2655.62,10157.0,2285.0
15-9_F11B,435005.808,6478677.106,2674.72,10158.0,2282.0
15-9_F11B,435040.068,6478679.914,2693.12,10159.0,2279.0
15-9_F11B,435075.846,6478680.838,2712.25,10160.0,2277.0
15-9_F11B,435111.374,6478679.51,2731.19,10161.0,2274.0
15-9_F11B,435147.156,6478676.105,2750.25,10161.0,2271.0
15-9_F11B,435182.835,6478670.393,2769.16,10161.0,2268.0
15-9_F11B,435242.754,6478654.453,2801.73,10161.0,2263.0
15-9_F11B,435276.535,6478641.254,2819.7,10161.0,2260.0
15-9_F11B,435309.805,6478625.542,2835.07,10160.0,2257.0
15-9_F11B,435344.096,6478608.148,2849.27,10160.0,2254.0
15-9_F11B,435377.647,6478589.938,2862.44,10159.0,2252.0
15-9_F11B,435409.879,6478569.799,2875.16,10158.0,2249.0
15-9_F11B,435440.708,6478547.263,2887.97,10157.0,2246.0
15-9_F11B,435471.457,6478523.792,2899.91,10156.0,2243.0
15-9_F11B,435503.272,6478500.775,2909.74,10154.0,2240.0
15-9_F11B,435536.065,6478478.367,2917.01,10153.0,2237.0
