Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Away,PASS,,1,6905,276.2,6946,277.84,20,22,0.52,0.41,0.46,0.78
Away,BALL LOST,CROSS-INTERCEPTION,1,6987,279.48,7043,281.72,22,,0.38,0.84,0.08,0.4
Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,3,,0.1,0.42,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,3,,0.1,0.42,NaN,NaN
Home,PASS,,1,7041,281.64,7148,285.92,3,4,0.1,0.42,0.03,0.03
Away,CHALLENGE,GROUND-LOST,1,7043,281.72,7043,281.72,24,,0.1,0.39,NaN,NaN
Home,BALL LOST,,1,7199,287.96,7204,288.16,4,,0.1,0.01,0.14,0.02
Away,RECOVERY,,1,7203,288.12,7203,288.12,18,,0.13,0.01,NaN,NaN
Away,PASS,,1,7203,288.12,7266,290.64,18,21,0.13,0.01,0.2,0.11
Away,PASS,,1,7266,290.64,7290,291.6,21,18,0.2,0.11,0.18,0.04
Away,PASS,,1,7334,293.36,7387,295.48,18,15,0.24,0.02,0.38,0.08
Away,PASS,,1,7404,296.16,7427,297.08,15,23,0.38,0.08,0.25,0.21
Away,BALL LOST,,1,7465,298.6,7470,298.8,23,,0.23,0.26,0.21,0.26
Home,RECOVERY,,1,7472,298.88,7472,298.88,3,,0.2,0.29,NaN,NaN
Home,BALL LOST,,1,7472,298.88,7518,300.72,3,,0.2,0.29,0.26,0.26
Away,RECOVERY,,1,7519,300.76,7519,300.76,19,,0.26,0.29,NaN,NaN
Away,PASS,,1,7519,300.76,7556,302.24,19,18,0.26,0.29,0.29,0.07
Away,PASS,,1,7603,304.12,7632,305.28,18,19,0.29,0.07,0.3,0.24
Away,CHALLENGE,TACKLE-LOST,1,7698,307.92,7698,307.92,19,,0.24,0.22,NaN,NaN
Away,BALL LOST,THEFT,1,7698,307.92,7698,307.92,19,,0.24,0.22,NaN,NaN
Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,8,,0.22,0.17,NaN,NaN
Away,RECOVERY,,1,7724,308.96,7724,308.96,21,,0.19,0.27,NaN,NaN
Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,21,,0.2,0.3,-0.04,0.65
Home,RECOVERY,,1,8482,339.28,8482,339.28,11,,0.04,0.52,NaN,NaN
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,11,,0.04,0.52,0.64,0.38
Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,15,,0.62,0.36,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,15,,0.62,0.36,NaN,NaN
Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,15,,0.62,0.36,0.63,0.36
Home,RECOVERY,,1,8581,343.24,8581,343.24,10,,0.6,0.37,NaN,NaN
Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,10,,0.6,0.37,0.68,0.35
Away,RECOVERY,,1,8650,346,8650,346,15,,0.66,0.35,NaN,NaN
Away,PASS,HEAD,1,8650,346,8686,347.44,15,16,0.66,0.35,0.75,0.38
Away,BALL LOST,,1,8686,347.44,8735,349.4,16,,0.75,0.38,0.64,0.28
