RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
79722,16193005840000,  26771,37.330613,-83.177382,1237,KENTUCKY WEST VIRGINIA GAS CO   ,7200            ,"COMBS, HARRISON                 ",31-Aug-73,3011,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79800,16193005830000,  26772,37.304187,-83.208655,1116,KENTUCKY WEST VIRGINIA GAS CO   ,7197            ,"NAPIER, N N                     ",20-Jun-73,2915,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
79802,16193005800000,  26515,37.304889,-83.198006,1239,KENTUCKY WEST VIRGINIA GAS CO   ,7186            ,"COMBS, JACKSON                  ",28-Mar-73,3037,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79804,16193005850000,  27016,37.332261,-83.184775,1250,KENTUCKY WEST VIRGINIA GAS CO   ,7208            ,"NAPIER, T G                     ",29-Oct-73,2972,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
79871,16193005780000,  26331,37.297391,-83.196391,1128,KENTUCKY WEST VIRGINIA GAS CO   ,7176            ,"COMBS, JACKSON                  ",23-Dec-72,2951,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79877,16193004330000,  25642,37.295427,-83.172059,1007,KENTUCKY WEST VIRGINIA GAS CO   ,6725            ,"GODSEY, WILLIAM W               ",05-Jul-72,2901,344CORN ,GAS,"JOURNEY OPERATING, LLC",0
80097,16193002450000,  22263,37.112778,-83.125715,1420,KENTUCKY WEST VIRGINIA GAS CO   ,1417            ,"SHELL, CHARLIE ET UX            ",11-Sep-69,3730,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
80159,16193006090000,  32781,37.325575,-83.154814,1422,KENTUCKY WEST VIRGINIA GAS CO   ,7265            ,"BREWER, WILLIAM                 ",30-May-78,3257,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
81307,16115003220000,  20165,37.813052,-82.85421,627,KENTUCKY WEST VIRGINIA GAS CO   ,1357            ,"CONLEY, ELMER G                 ",22-Feb-68,2308,355BGSX ,GAS,EQUITABLE PRODUCTION COMPANY,0
81318,16115003230000,  20544,37.81804,-82.853168,833,KENTUCKY WEST VIRGINIA GAS CO   ,1368            ,"CONLEY, ELMER G ET AL           ",06-Jun-68,2522,355BGSX ,GAS,EQUITABLE PRODUCTION COMPANY,0
81334,16115003210000,  18604,37.794508,-82.847059,886,KENTUCKY WEST VIRGINIA GAS CO   ,1335            ,"RICE, CRATE ET AL               ",30-Jun-67,2608,355BGSX ,GAS,EQUITABLE PRODUCTION COMPANY,0
81343,16115003240000,  24762,37.804806,-82.843597,709,KENTUCKY WEST VIRGINIA GAS CO   ,1493            ,"RICE, CRATE ET AL               ",26-Aug-71,2428,355BGSX ,GAS,EQUITABLE PRODUCTION COMPANY,0
81378,16115009620000,  13536,37.792311,-82.8594,802,KENTUCKY WEST VIRGINIA GAS CO   ,1269            ,"RICE, HAROLD B                  ",19-May-65,2548,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
81379,16115003170000,  14022,37.785418,-82.859804,742,KENTUCKY WEST VIRGINIA GAS CO   ,1274            ,"RICE, AMANDA A                  ",04-Jul-65,1656,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
81380,16115007920000,  16340,37.797691,-82.851961,760,KENTUCKY WEST VIRGINIA GAS CO   ,1308            ,"CONLEY, LORA                    ",11-Jun-66,2497,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
81412,16115003250000,  25468,37.790979,-82.831487,760,KENTUCKY WEST VIRGINIA GAS CO   ,1520            ,"THOMAS, HARRY                   ",10-May-72,2547,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
81417,,N120881,37.793916,-82.771393,750,KENTUCKY WEST VIRGINIA GAS CO   ,5587            ,"PRESTON, JESSE                  ",,2850,357CLNT ,GAS,,0
81447,16115004220000,  10921,37.770855,-82.777971,722,KENTUCKY WEST VIRGINIA GAS CO   ,6787            ,"STRONG, H F                     ",11-Mar-64,2815,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
81448,,,37.775876,-82.77485,631,KENTUCKY WEST VIRGINIA GAS CO   ,5609            ,"ELLIOTT, ABE ESTATE             ",06-Sep-45,2737,357CLNT ,GAS,,0
