RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
53166,16119007590000,  4255E,37.273907,-82.906755,1288,UNITED FUEL GAS CO              ,5833            ,"VANCE, MARTHA                   ",12-Oct-48,3321,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
53333,16119007650000,  390EF,37.308377,-82.856876,1186,UNITED FUEL GAS CO              ,6589            ,"CAUDILL, HARDIN                 ",24-Nov-50,3148,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
53713,16131003230000,  27756,37.164014,-83.25374,1087,KENTUCKY WEST VIRGINIA GAS CO   ,1584            ,KYCOGA LAND CO                  ,03-Jul-74,3137,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
53821,16131003090000,  26152,37.145853,-83.217799,1702,KENTUCKY WEST VIRGINIA GAS CO   ,1539            ,"WELLS, ALBERT                   ",12-Feb-73,3888,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
54346,16131003240000,  28120,37.157828,-83.251801,1200,KENTUCKY WEST VIRGINIA GAS CO   ,1593            ,KYCOGA LAND CO                  ,17-Sep-74,3276,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
55023,16119007620000,  348EF,37.28814,-82.948281,1512,UNITED FUEL GAS CO              ,6527            ,"AMBURGEY, LINDSAY               ",15-Sep-50,3446,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
55026,16119009800000, N10328,37.28608,-82.983161,1336,UNITED FUEL GAS CO              ,5788            ,"MADDEN, SAMUEL                  ",06-May-47,3224,341OHIO ,GAS,COLUMBIA GAS TRANS CORP,0
55032,16119008220000,  4070E,37.271336,-82.919244,1316,UNITED FUEL GAS CO              ,5862            ,"STAMPER, BENTON                 ",23-Jun-48,3296,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
55033,16119007640000,  346EF,37.264844,-82.918095,1108,UNITED FUEL GAS CO              ,6577            ,"BANKS, BETTIE                   ",04-Dec-50,3118,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
55103,,,37.310213,-82.974059,1210,WARFIELD NATURAL GAS CO         ,4590            ,"PERKINS, EDGAR                  ",23-Feb-36,3073,341OHIO ,GAS,,0
55104,,,37.306317,-82.956189,1625,WARFIELD NATURAL GAS CO         ,5068            ,"CROFT, A C                      ",22-Apr-42,3351,341OHIO ,GAS,,0
55109,,,37.28508,-82.927546,1550,WARFIELD NATURAL GAS CO         ,5067            ,"DAY, LAURANIA                   ",25-May-42,3203,341OHIO ,GAS,,0
55339,,,37.279589,-82.820842,1520,WARFIELD NATURAL GAS CO         ,4634            ,"AMBURGEY, W T                   ",28-Nov-36,3555,341OHIO ,GAS,,0
