RecordNumber,quant,unit,pay_top,btm,pay,Remark
65571,0,MCFGPD,2459,2481,341OHIO ,
65593,0,MCFGPD,2666,2712,341OHIO ,
65619,215,MCFGPD,2350,3178,341OHIO ,
65652,60,MCFGPD,2418,3117,341OHIO ,
65654,119,MCFGPD,2620,3368,341OHIO ,
65657,119,MCFGPD,2366,3100,341OHIO ,
65660,146,MCFGPD,2530,3454,341OHIO ,
65661,353,MCFGPD,2249,3164,341OHIO ,
65673,0,MCFGPD,2408,2512,339BREA ,
65714,146,MCFGPD,2649,3470,341OHIO ,
65834,0,MCFGPD,1436,1485,332BIGL ,
66056,492,MCFGPD,3107,3939,341OHIO ,
66069,158,MCFGPD,2490,3465,340BBSI ,
66261,0,MCFGPD,2163,2166,332BIGL ,
66346,0,MCFGPD,2162,2220,332BIGL ,
66347,60,MCFGPD,1891,1912,332BIGL ,
66720,0,MCFGPD,2495,3365,341OHIO ,
66722,119,MCFGPD,2581,3372,341OHIO ,
67140,0,MCFGPD,1946,1956,341OHIO ,
67143,84,MCFGPD,2550,3058,341OHIO ,
67207,0,MCFGPD,2127,2147,337WEIR ,
67211,0,MCFGPD,1618,1800,332BIGL ,
67234,321,MCFGPD,2750,3585,341OHIO ,
67645,94,MCFGPD,2099,2749,341OHIO ,
67650,0,MCFGPD,2092,2113,341OHIO ,
67651,0,MCFGPD,1445,1468,332BIGL ,
67686,0,MCFGPD,2216,2238,339BDFD ,
67700,239,MCFGPD,2480,3022,341OHIO ,
67754,327,MCFGPD,1246,1280,332BIGL ,
67874,231,MCFGPD,1515,1520,332BIGL ,
67876,0,MCFGPD,2206,2227,341OHIO ,
67877,0,MCFGPD,2245,0,341OHIO ,
67879,267,MCFGPD,2140,2797,341OHIO ,
67882,0,MCFGPD,1445,1466,332BIGL ,
67884,103,MCFGPD,2330,2995,341OHIO ,
68072,60,MCFGPD,2096,2833,341OHIO ,
68129,0,MCFGPD,1330,1354,332BIGL ,
68132,680,MCFGPD,410,484,327SALT ,
68288,119,MCFGPD,2350,3050,341OHIO ,
69114,0,MCFGPD,1956,1986,332BIGL ,
70031,0,MCFGPD,2530,2552,340BBSI ,
70124,0,MCFGPD,2509,2526,341OHIO ,
70438,103,MCFGPD,3137,4115,340BBSI ,
70630,60,MCFGPD,1350,1921,341OHIO ,
70632,119,MCFGPD,1285,1755,341OHIO ,
70633,103,MCFGPD,768,906,332BIGL ,
71680,244,MCFGPD,1955,2555,341OHIO ,
71688,231,MCFGPD,1997,2590,340BBSI ,
71787,245,MCFGPD,1740,2317,341OHIO ,
71790,133,MCFGPD,1734,2306,341OHIO ,
71791,267,MCFGPD,1840,2384,341OHIO ,
71809,286,MCFGPD,1744,2242,341OHIO ,
71810,84,MCFGPD,1580,2112,341OHIO ,
